comments,star_rating,tags,compound,sentiment_category,professor_name,ranked_tags_w2v,Tag1,Tag2,Tag3,Tag4,Tag5
"if you think that he is egotistical or hard you should drop out now. b/c you have no hope of coming up with an original concept on your own. and saying that he doesnt let you have your own opinions is catagorically incorrect, that is exactly what he tries",3.5,"egotistical, hard, original concept, own opinions",0.0,neutral,Mara Merlino,"egotistical, hard, own opinions, original concept",egotistical,hard,own opinions,original concept,
"Very nice person, helpful, and funny. Easy grader, especially during the summer session.",3.6,"friendly, helpful, funny, easy grader",0.8957,positive,Deirdre O'Shea,"helpful, friendly, funny, easy grader",helpful,friendly,funny,easy grader,
"I learned a ton of useful info in this class and found it really interesting. Her examples help you remember the information, and the stuff you learn actually applies to real life. Very helpful professor.",3.2,"useful, interesting, helpful",0.8126,positive,Diane Reid,"useful, helpful, interesting",useful,helpful,interesting,,
"She is wonderfully helpful. The book is def needed, although it isnt used all the time. She incorporates many outside resources into exams. She is confusing sometimes; incredibly nice and helpful. It is a demanding course so I would suggest to go to class. Be prepared to start doing ""real"" research.2 main research proposals are due,be ready to work",3.8,"helpful, confusing, demanding, nice, prepared, research, proposals, work",0.5719,positive,William Hollinrake,"helpful, confusing, nice, prepared, work",helpful,confusing,nice,prepared,work
"Boring horrible reading (awful book). Tests are all essay form. Really who the hell wants to write an in-class essay for a history test? Teacher was a good speaker though, kept you interested, the book and tests did not.",3.9,"boring, horrible, awful, essay form, in-class essay, good speaker, interested",-0.4939,negative,Margaret Mitchell,"awful, horrible, boring, interested, in-class essay",awful,horrible,boring,interested,in-class essay
I took the web class. The class itself was very easy with online exams you can take as many times as you need. The only thing I hated was the final. Four essay questions at 250 words each and about 50 multiple choice. All based on previous test & paper. WAY too much to remember for a final.,4.8,"easy, online exams, hated, final, essay questions, multiple choice, too much, remember, NA",-0.3182,negative,Robert Warden,"hated, remember, easy, na, final",hated,remember,easy,na,final
"She knows her sh*t. A freaking math genious to boot. She really wants you to understand the material, and is always very helpful, and is more than willing to reexplain for clairity. She also realizes that the material is extremely complicated, so she makes the tests easy. :)",4.6,"knowledgeable, helpful, understanding, approachable",0.4215,positive,Robert Warden,"knowledgeable, approachable, helpful, understanding",knowledgeable,approachable,helpful,understanding,
I am in his last class before he retires. BE THANKFUL YOU DO NOT HAVE TO WORRY ABOUT HIM AS YOUR TEACHER!!! He doesn\'t stay focused. He goes off on things not related to this class. His tests are overly in depth and he lies about what is actually on them. He uses wrong solutions in the lab saying they work the same yet give different results.,2.6,"retires, unfocused, off-topic, overly in depth, lies, wrong solutions",-0.7845,negative,Jans Wager,"retires, unfocused, lies, wrong solutions, overly in depth",retires,unfocused,lies,wrong solutions,overly in depth
She was just really boring and did not keep my attention at all.,3.7,"boring, NA",-0.3182,negative,Panos Alexakos,"na, boring",na,boring,,,
"She isn\'t the worse, but lecture is sometimes all over the place. She is technologically challenged, and she jumps back and forth through topics, so it can be hard to take notes.",3.0,"technologically challenged, all over the place, hard to take notes",-0.2023,negative,Nancy Jones,"technologically challenged, hard to take notes, all over the place",technologically challenged,hard to take notes,all over the place,,
"Ok, this teacher was extremely not helpful at all. His powerpoint lectures provided would always have mistakes in them confusing the students on how to work the problem correctly. Teacher was easy to get a hold of but if you got a problem wrong because of his error. Tough Luck...",3.9,"unhelpful, confusing, mistakes, tough, luck",-0.2263,negative,Eleanor Branch,"confusing, tough, mistakes, unhelpful, luck",confusing,tough,mistakes,unhelpful,luck
Avoid this teacher if possible. Does not test fairly at all. Makes mistakes frequently and is not equipped to teach at this level.,3.7,"Avoid, not fair, mistakes, not equipped",-0.2621,negative,Ruben Mouhiddan,"mistakes, avoid, not fair, not equipped",mistakes,avoid,not fair,not equipped,
"It was a lot of work, especially the outlining. And her tests and quizzes were pretty hard. But she was super helpful and very nice. Though it was hard I loved her as a teacher. I am horrible at History but I actually got an A in this class. You just have to be willing to put in the effort and you can get an A. Most in my class also got an A.",1.8,"hardworking, helpful, nice, effective, demanding",0.7783,positive,John Cunningham,"helpful, nice, hardworking, effective, demanding",helpful,nice,hardworking,effective,demanding
Amazing teacher if you are willing to put in the time. He goes out of his way to make sure every student understands. Can be extremely creative in his teaching methods. Student needs to be responsible or he will not keep up.,3.3,"Amazing, willing to put in the time, goes out of his way, every student understands, extremely creative, responsible, will not keep up",0.8615,positive,Jans Wager,"responsible, amazing, willing to put in the time, will not keep up, goes out of his way",responsible,amazing,willing to put in the time,will not keep up,goes out of his way
"Dr. E is a super nice guy, but I don\'t think he should be teaching lower level chem. He just assumes that we already know what he\'s talking about, so he doesn\'t explain anything. Tests are all short answer, which is actually beneficial because you can somewhat BS.",3.0,"friendly, knowledgeable, assumes prior knowledge, lacks explanation, short answer tests, beneficial, lenient grading",0.802,positive,Robert Warden,"knowledgeable, friendly, beneficial, short answer tests, lenient grading",knowledgeable,friendly,beneficial,short answer tests,lenient grading
"I truely don\'t recommend her to ANYONE!! she is one horrible teacher to get. she is NOT helpful at all and almost everyone in class fails and she doesn\'t even give out Fs, but D- which is more terrible!!! DON""T EVER TAKE HER CLASSES!!!HORRIBLELY bad, unhelpful professor ever!!!!!!",2.3,"horrible, not helpful, fails students, terrible, unhelpful, bad professor",-0.8779,negative,Virgina Rivers,"terrible, horrible, unhelpful, not helpful, fails students",terrible,horrible,unhelpful,not helpful,fails students
Great Teacher! Very helpful. Tests are clear and she prepares you well. Great at explaining things gives great examples.,4.0,"Great Teacher, helpful, clear tests, prepares well, great at explaining, great examples",0.9628,positive,Eleanor Branch,"helpful, prepares well, great teacher, great examples, great at explaining",helpful,prepares well,great teacher,great examples,great at explaining
Adolf Ford is a strick lab instructor.,2.6,strict,0.0,neutral,Juanita Campos,strict,strict,,,,
"Professor Warwick is amazing. He is funny and SUPER UNDERSTANDING. One time I got an answer wrong on a quiz and I gave him an explanation as to why I chose that specific answer, and he liked my explanation, and said that he would add that point back on. He is eager to help and I HIGHLY RECOMMEND taking his class. Wish I could take his class again.",4.0,"funny, super understanding, eager to help, highly recommend",0.9299,positive,Robert Warden,"funny, super understanding, highly recommend, eager to help",funny,super understanding,highly recommend,eager to help,
Awful professor; no clear plan and disorganized. Take too long to grade papers. Stay away if you can!,3.8,"Awful, disorganized, slow grading",-0.6369,negative,Leslie Looney,"disorganized, awful, slow grading",disorganized,awful,slow grading,,
"I had him once a week for trig at night, it was not a good time, but he made the class lively. You really have to work for a good grade but he gives easy and useful extra credit, it isn\'t much but it could bring your test up a letter grade. Loves interacting with his students, will 100% talk to you at least once.",4.6,"lively, easy extra credit, interactive",0.8126,positive,Robert Warden,"interactive, lively, easy extra credit",interactive,lively,easy extra credit,,
"Cynthia expects you to already know the material in class before learning it,and when you ask questions she makes you feel stupid and says you should already know the answer and tells you to ask class members for the answer. very scatterbrained jumps from topic to topic. i learned absolutely nothing from her, i learned more by teaching myself.",4.0,"demanding, unhelpful, scatterbrained, ineffective",-0.34,negative,Robert Warden,"unhelpful, ineffective, scatterbrained, demanding",unhelpful,ineffective,scatterbrained,demanding,
"Its very clear that he\'s knowledgeable about the subject but he\'s terrible at conveying that knowledge to his students. Lectures are unclear, tests are tricky, his notes are useless for studying and overall, do not recommend.",2.8,"knowledgeable, terrible, unclear, tricky, useless, do not recommend",-0.8628,negative,Robert Warden,"tricky, unclear, useless, terrible, knowledgeable",tricky,unclear,useless,terrible,knowledgeable
"Very passionate about British Literature, which ups his cred as a professor...always willing to get involved in student mindsets about assigned pieces throughout the semester...LOVED THIS MAN!! 2 papers, 1 midterm, and 1 final [all of which are 25% a piece]...you gain revision rights on the papers, and he is an easy grader on quizzes and tests",4.0,"passionate, involved, loved, easy grader, revision rights",0.8807,positive,William Hollinrake,"passionate, loved, involved, revision rights, easy grader",passionate,loved,involved,revision rights,easy grader
"Tompkins is an amazing teacher. He wants to ensure that you understand everything to the nth degree. His class was one of the hardest classes I have ever taken. That being said, Tompkins knows this and expects a lot but gives a lot of help. He has his own Youtube channel with his lectures to assist in studying. Study and practice a lot****",4.2,"amazing, thorough, challenging, supportive, helpful, dedicated, resourceful",0.9081,positive,William Hollinrake,"supportive, helpful, resourceful, challenging, dedicated",supportive,helpful,resourceful,challenging,dedicated
"Words cannot describe the love that I have for this man-he is MY hobby-horse. But seriously- his methods of teaching are extremely sophisticated and innovative, and I recommend him to anyone who seeks alternative teaching methods, especially in English.",4.0,"sophisticated, innovative, recommended",0.8074,positive,Robert Warden,"innovative, sophisticated, recommended",innovative,sophisticated,recommended,,
"She is a wonderful instructor and very concerned with the education of her students. If you take a special interest in learning the material, she will take a special interest in helping you succeed. I look forward to having her in future classes.",3.8,"#wonderful, #concerned, #education, #special interest, #helping, #succeed, #future classes",0.4588,positive,Robert Warden,"#wonderful, #succeed, #special interest, #helping, #future classes",#wonderful,#succeed,#special interest,#helping,#future classes
"One of the best professor I ever had in my student life. Great teaching strategy, very cooperative and great motivation. I recommend him to all my friends. BUT, you have to work hard",4.8,"best, great teaching strategy, cooperative, great motivation, recommend, work hard",0.9509,positive,Pat Ledbetter,"recommend, cooperative, best, work hard, great teaching strategy",recommend,cooperative,best,work hard,great teaching strategy
"The readings are difficult, but we were allowed to discuss and work things out. Our class seem to work together well. I think if you read, you enjoy the discussions.",3.0,"difficult readings, allowed discussion, work together well, enjoy discussions",0.4215,positive,Tina Keeble,"work together well, enjoy discussions, difficult readings, allowed discussion",work together well,enjoy discussions,difficult readings,allowed discussion,
Very freindly and funny. Her notes and clear and organized which makes it easy to study for her exams,3.4,"friendly, funny, clear, organized",0.8271,positive,Robert Warden,"friendly, funny, organized, clear",friendly,funny,organized,clear,
Very helpful if you have questions.,2.7,helpful,0.4215,positive,Virgina Rivers,helpful,helpful,,,,
she is a wonderful teacher. notes are critical. the book was never used. tests are purely from the notes and observations are done. very interesting course material.,4.7,"#wonderful, #critical, #interesting",0.0,neutral,Margaret Mitchell,"#wonderful, #interesting, #critical",#wonderful,#interesting,#critical,,
"Good instructor for baking and dining room service classes. Clear, knowledgeable, knows the material. Always willing to help you out. Will work with each and every student.",4.6,"Clear, knowledgeable, helpful, willing to help, works with every student",0.7964,positive,Robin Hochstrasser,"knowledgeable, helpful, clear, works with every student, willing to help",knowledgeable,helpful,clear,works with every student,willing to help
Craig works hard at helping his students achieve thier maximum potential. You will get out of it what you put into it. I learned a great deal from him.,4.2,"hardworking, supportive, knowledgeable",0.296,positive,Sally Mallory,"knowledgeable, hardworking, supportive",knowledgeable,hardworking,supportive,,
"I loved professor Cuevas! I will take him again! He does expect you to try in his class, but if you put in effort to the class, he will see that and give you a grade to reflect that. I have had teachers here that will not give you a good grade to be contrary, but professor Cuevas is always open to helping, and to hearing new opinions. Take him!",3.3,"loved, expects effort, fair grading, helpful, open to new opinions",0.8402,positive,John Cunningham,"loved, helpful, open to new opinions, fair grading, expects effort",loved,helpful,open to new opinions,fair grading,expects effort
"terrible, likes himself too much.",4.0,"terrible, likes himself too much",-0.0772,negative,Pat Ledbetter,"terrible, likes himself too much",terrible,likes himself too much,,,
MY FAVORITE PROFESSOR ON EARTH!!!,4.5,"favorite, professor, earth",0.4588,positive,Hon Linda,"professor, earth, favorite",professor,earth,favorite,,
Loved the class and gained a wealth of knowledge. Sad that there aren\'t more professors on this campus like him.,3.9,"Loved, wealth of knowledge, sad",0.6124,positive,Robin Hochstrasser,"sad, loved, wealth of knowledge",sad,loved,wealth of knowledge,,
This professor requires a lot of work compared to others who teach the same subject. Take a light course load if you have her for finance because it took hours to study for her test. GOOD LUCK!!!,3.8,"demanding, challenging, time-consuming",-0.0772,negative,William Hollinrake,"demanding, challenging, time-consuming",demanding,challenging,time-consuming,,
enjoyed the class. enjoyed the professor wish every one read the material,3.9,"enjoyed, professor, wish, read the material",0.7184,positive,Leslie Looney,"professor, enjoyed, wish, read the material",professor,enjoyed,wish,read the material,
"Loved this course. Prakash does a great job giving the material life through his dedication to getting the information across. Assignments were fair, took some work, but they were quite interesting and indicative of what to expect on tests. One thingtrusting my interest in the course, I barely studied for the final and lost a letter grade for it.",3.8,"dedicated, fair, interesting, engaging",0.8555,positive,Robert Warden,"interesting, engaging, dedicated, fair",interesting,engaging,dedicated,fair,
"Although he was a nice man and very intelligent, the way he conveyed the material was very unorganized. I studied so hard for this exam and felt completely dumbfounded on the exam. He gives true or false questions on the exam that are extremely tricky and in no way indicative of how good of a law student you are. He needs to change his 1L methods.",3.0,"intelligent, unorganized, tricky, needs improvement",0.6597,positive,Leslie Looney,"unorganized, intelligent, tricky, needs improvement",unorganized,intelligent,tricky,needs improvement,
"Lecture-Lecture-Lecture it sounds boring but if you stay awake in class and read a few handouts you\'ll never need to open your book or STUDY!!! What you hear is what you get. So just sit there listen and get an ""A"". She likes participation and she\'s truly old school so show some respect and understanding for her style- and read your syllabus!!",3.3,"- Boring
- Engaging
- Easy A
- Participation
- Old school
- Respectful
- Syllabus reader",0.7184,positive,Robert Warden,"- boring
- engaging
- easy a
- participation
- old school
- respectful
- syllabus reader","- boring
- engaging
- easy a
- participation
- old school
- respectful
- syllabus reader",,,,
He\'s the man. Really interesting lectures and reading. Got me interested in studying religion.,3.9,"interesting, engaging, knowledgeable",0.6249,positive,William Hollinrake,"knowledgeable, engaging, interesting",knowledgeable,engaging,interesting,,
"Grades with check, check plus, etc. like you\'re in kindergarten. Very tough at grading. Too many readings. The tests/quizzes are timed and you are expected to write 5 full essays during the midterm/final. Talks too quickly. Attendance is mandatory. Quizzes at beginning and end of class. Horrible. Don\'t know how I passed.",2.9,"tough grading, too many readings, timed tests/quizzes, mandatory attendance, fast-paced talking, horrible experience",-0.5719,negative,Ruben Mouhiddan,"tough grading, too many readings, timed tests/quizzes, mandatory attendance, horrible experience",tough grading,too many readings,timed tests/quizzes,mandatory attendance,horrible experience
"His lectures are great. Book is terrible. He does write alot on the board however his tests are difficult, MC questions (50) confusing at times. Research paper is rough however if you do it he will give you a good grade....Not an easy A",4.2,"great lectures, terrible book, writes a lot on the board, difficult tests, confusing MC questions, rough research paper, good grade, not an easy A

Tags: great lectures, terrible book, difficult tests, confusing MC questions, rough research paper",-0.5116,negative,Leslie Looney,"writes a lot on the board, terrible book, terrible book, rough research paper, rough research paper",writes a lot on the board,terrible book,terrible book,rough research paper,rough research paper
