comments,star_rating,tags
She was an amazing professor who really took time to listen to her students. The class will require reading and includes a lot of organic chemistry as this semester she taught the pilot curriculum which is becoming the new Chemistry 150. It is a lot more focused on fewer topics and will help to prepare students for Organic Chemistry for sure!,3.8,"amazing, attentive, pilot curriculum, focused, preparing students"
She great! I love her. She tough yet hepfull!!!!,4.9,"friendly, tough, helpful"
"She\'s a little outdated for an education teacher. Someone who was in the school system while dinosaurs were still on the earth should NOT still be teaching classes on education, in my humble opinion. That and she tends to be more concerned with appearances than with quality, so as long as you (and your papers) look cute you\'ll be fine.",2.3,"outdated, concerned with appearances, not focused on quality"
What in the name of God was he talking about? I sat in his class for an entire semester and had no idea what he was talking about each and every day.,3.0,"confusing, unclear, unhelpful"
"Talhammmmm, my man!!! What a gem of a professor! I had him for inorganic chemistry and it was one of my favorite classes! Sure, inorganic chemistry can be hard, but this man made it worth reading the textbook, looking over his notes, and studying for the exams. He truly made this class enjoyable. His exams are VERY fair, so worth it!!",4.0,"Talhammmmm, gem of a professor, favorite class, enjoyable, fair exams."
"Prof. Miller is probably one of the best professors I\'ve had in college. She\'s incredibly nice, helps you when you need it, and isn\'t too serious about her class. Her lectures are pretty helpful and you can tell she genuinely cares that her students understand her material. Definitely take her if you can",3.6,"nice, helpful, caring, best"
"Oh brother, I can see this guy being like Tony Montana at home. He explains everything clearly, but the tests are pretty difficult for someone who doesn\'t really ""get"" economics, but I rarely paid attention in class. Use the textbook, listen in class and take notes, and I bet this class wouldn\'t be too hard.",3.0,"charismatic, clear explanations, difficult tests, engaging, knowledgeable, demanding"
"Dr. Farrer is a terrific teacher! She cares about her students, and wants them to do well. She teaches the material in the class very well and in a way which most to all of her student grasps and understand it. I would recommend taking Dr. Farrer in all the classes you can.",5.0,"caring, terrific teacher, teaches well, recommend"
"Sadkowski is pretty cool. He likes to lecture a lot, but does include some discussion and movies. His tests are difficult, but he gave us all of our study guides on the first day. His papers are demanding though.",2.7,"cool, lecture, discussion, movies, difficult, study guides, demanding"
Incredibly helpful if you have questions.,3.7,helpful
His lectures are engaging. Best professor at Coastal. Prepares you for the exams by making the course fun and interesting.,4.2,"engaging, best professor, prepares well, fun, interesting"
great guy that understands what it is like to work and go to school. he is always available and puts out extra helping instruction. just listen and follow close because sometimes he switches gears and may loose you if your not on the ball.,4.5,"understanding, available, helpful, instructive, engaging"
No Comments,4.1,NA
"Yes, please never take this professor for Econ unless you want to fail or enjoy challenges. She is sooo hard to understand with that really thick accent, and she makes Econ harder than it is. DO NOT TAKE HER!",1.2,"difficult, challenging, thick accent, hard to understand"
she is really laid back and really hot. very trust worthy and she is hott,4.4,"laid back, trustworthy, hot"
"Bell is smart and he can be witty, but he\'s a very bad teacher. His lectures are entertaining because he\'s such a nut-ball. He\'ll start yelling for no reasons about a stupid detail from a film. Unclear and vague. Avoid.",2.8,"smart, witty, bad teacher, entertaining, nut-ball, yelling, unclear, vague, avoid"
"Shes an awesome teacher, her work is difficult but she knows what she is talking about. If you listen and do the work,you will learn a lot.",4.3,"awesome, difficult, knowledgeable, effective"
This guy is an absolute amazing professor! He taught the subject so well and I learned more in one day of his lecture then a whole term with Walker. The best O Chem professor at OSU but not the easiest.,2.9,"amazing, taught well, best professor, not easiest"
"shesaniceteacher.sheiscertainlyveryknowledgebleabout thehistoryofearlychildhoodandcareshepracticallyhas all her material memorized, at times she speaks a little fast,and sometimes i found her language to be incoherent just because she tends to use a lot of sophisticated vocabulary both when shelectures, andalso onherxams.studyhardforherexams,",3.4,"knowledgeable, fast speaker, incoherent language, sophisticated vocabulary"
"o.k ....wow! I\'ve never laughed more in class as I did in her class and mostly out of insanity! she is so not good teacher! she\'s nice, eventually, but she\'s really hard! The only reason she will let up on the assignments is if she thinks she\'s in a class of idiots.... take her as a last resort! She\'s also reallllllly hard to understand!",2.6,"funny, insane, not good teacher, nice, hard, last resort, hard to understand"
"Haters stop hating. Charisse is probably the most real person/professor/dean you will ever confront in your lives. She is well-rounded and does all she can to relay her knowledge to her students. If you let down your guards and allow her to teach you, you might actually learn something about yourselves as an individual. You EARN your grade!",4.1,"real, well-rounded, knowledgeable, dedicated, impactful, inspiring, challenging"
No Comments,4.8,NA
"Dr. Horn has a very unique teaching style. In short he doesn\'t really teach. Everything you need to know will come from the textbook, the in-class activities will just confuse you and waste your time. His tests are super vague and hardly reflect what was learned. This class does not prepare you for later chemistry courses. Find another teacher.",3.0,"unique teaching style, doesn't teach, textbook reliant, confusing in-class activities, vague tests, unprepared for future courses, negative experience"
Love Kathy!! She is so fun to have as a professor. Also pays attention to each of her students which is great,4.4,"fun, attentive"
Dr Fressola was tough but a great clinical instructor. She didn\'t make it easy but she respected that we were students and would tell us if we were making mistakes. She was very good about being professional when telling you about mistakes. She always had you step off the floor for comments. I learned a lot from her and I am very thankful.,3.2,"tough, great clinical instructor, respectful, professional, knowledgeable, thankful"
"Good Teacher, you learn lots of info in class but she grades to hard on little****!",3.5,"Good Teacher, grades too hard"
He is an awesome prof! Took him during ext spring semi and got an A. He is super easy!!!!! He goes over what will be on the exam and makes you prepared! Only thing I didn\'t like were the videos because they were kind of boring. But overall I recommend him!! I wish he taught more courses so I can take him again! EASY A!!!,4.4,"awesome, super easy, prepared, recommend, EASY A"
Patronizing.,2.5,patronizing
"Honestly, my favorite professor at MDC. He\'s tough but he\'s also so sweet- don\'t let his biker exterior fool you.",4.3,"favorite, tough, sweet, biker"
"Julia is amazing - brilliant, a great teacher and beautiful! How DOES she do it all?",4.5,"amazing, brilliant, great teacher, beautiful"
"He is never wrong. Try to ask him something on a test why it is wrong, he wont admit he made a mistake in grading.Even took it to another teacher and said that it was right. So if you make a mistake always your fault because you didnt learn the material supposedly",3.8,"stubborn, unyielding, dismissive, unapologetic"
"She\'s a good professor but she uses so many long metaphors to explain things. Do not come to class for attendance and leave without letting her know first; I\'ve seen her chase people out of class to get their names. Also, DON\'T BUY THE BOOK; It\'s $90 and you will never, ever use it. Not once.",4.1,"good professor, long metaphors, attendance, chase people, book not necessary"
I adore Ms. McAfee. I can\'t imagine anyone not loving her class. It\'s pretty easy as long as you show up and pay attention.,4.6,"Adore, loving, easy, attentive"
Professor Brotheron is a very cool professor. He does not expect much of u. The midterms are open book. The final is a take home.He gives 15 page term paper thats due at the end of the semester. Overall he is very funny and he makes u want to come to class.,4.2,"cool, funny, laid-back, open book exams, take-home final, engaging"
"""PROFESSARIO"" IS AN EXCELLENT,HIGHLY EDUCATED MAN. YOU CAN BUY THE TEXT BOOK USED ONLINE LATE EDITION BUT THE BOOK ISNT NECESSARY AS HE IS A WALKING HISTORY TIME BOOK AND INFO IS GIVING BOTH ACCURATELY AND FROM HIS PERSPECTIVE.HE GIVES A REVIEW BEFORE THE TWO EXAMS AND WITH A RECORDER ITS A NO BRAINER. THE PRESENTATION IS EASY YOU PICK THE TOPIC.",4.3,"excellent, highly educated, walking history time book, accurate, perspective, review before exams, easy presentation"
"Dr. Masten\'s online classes are always easy. However, he doesn\'t grade discussions in a timely manner. Sometimes it can be 4 or 5 weeks before you find out your grade, and by that time you have completed several more discussion posts. Exams are easy and are graded automatically.",3.4,"easy, delayed grading, exams graded automatically"
"Prof. H. Afshari was extrermenly helpful. Vey interesting man to listen to,he has seen and been through alot. definetly learn alot in his class.",4.1,"helpful, interesting, experienced, knowledgeable"
"By far the best teacher, and course that I have ever taken in my life. This class is a lto fo hard work but you enjoy it. There is a lot of reading but most of the class time is spent on discussions. Every educaiton major should take this course with Dee.",4.4,"best teacher, best course, hard work, enjoy, lot of reading, discussions, education major, Dee"
Great! Creative and engaging instructor.,3.3,"Great, Creative, Engaging"
The most unhappiest women I have ever seen ! She does not know to smile !,2.6,"unhappy, not smiling"
"TOO many essays and work (we have other classes you know), very stubborn and disagreeable. It\'s ESL, why so difficult? Class is easy for me, because I was ""accidently"" placed there.",3.0,"stubborn, disagreeable, difficult, easy, NA"
My favorite Teacher so far! Professor Mann makes this class enjoyable & comfortable. He\'s funny & class is doable as long as you study. He is knowledgeable & helpful; anytime you have a question he\'ll explain it thoroughly! Wish he could teach all of my classes! I have much respect for him as a teacher and as a person. Thanks Mann! Will miss it!,4.8,"favorite, enjoyable, comfortable, funny, knowledgeable, helpful, respectful"
"Professor Faunce is a very fair teacher. If you do your work, you\'ll get an A. Some of her activities may seem very elementary ed, but that\'s the program, not her!",3.1,"fair, elementary ed"
"Fantastic professor. Loved his teaching. Took documentary survey from him. He opened my eyes to the art of docs, which I didn\'t understand before the class. He makes you write, so be prepared for probably 3-5 decent length papers. He will grade semi-tough but it\'s worth it. Some of the docs aren\'t the most interesting, but are valuable nonetheless.",3.6,"Fantastic, loved his teaching, opened my eyes, makes you write, semi-tough grading, valuable."
"Ms Ablarde is the most kindhearted, hilarios and helpful teacher I have ever had. She has made school very interesting and makes me want to go. Her refrences to the Simpsons have made class more livly and fun. Ms Ablarde helps her students even on her own time if they are having troble understanding the matirial. I think she is awesome!!! :D",4.5,"kindhearted, hilarious, helpful, interesting, lively, fun, awesome"
Dr. Wolf is hilarious! YOU HAVE TO TAKE HIM (unless you are easily offended). He says anything and does anything! He makes you keep a journal but besides that haven\'t done any literature lol. We\'ve read ONE story so far.,4.0,"funny, entertaining, unorthodox"
"Great professor, great class. He will help you understand all the material. A study guide is provided to help you out on essay questions. Also, the papers are easy as well. He is not a tricky professor, he is clear and friendly. TOTALLY RECOMMEND HIM!",4.2,"Great professor, great class, helpful, clear, friendly, easy, recommended"
"Dr. Colcord is a real nice guy and his class in general is pretty easy. His tests and exams are awesome as he has a curve which saved me on both of them, you can get away with not going to class some of the time but id go 2 days out out of the three. Always there to help you out.",2.2,"friendly, easy-going, helpful, generous, accommodating"
horrible teacher. He uses his personal opinion over the text information on tests. Don\'t buy the book you won\'t need it. attendance isnt mandatory so don\'t bother going. He\'s rude and has a very negative outlook on life. The very first day of class he let us know that 50% of us would be divorced! He\'s just ruuude!,3.9,"horrible, personal opinion, tests, book, attendance, rude, negative outlook, divorced, ruuude"
"She is a great teacher, the material was at times hard but she was very clear about the works we studied. she knew a lot about the works and was very helpful. make sure to always read the assignments and start ealry on papers. very good teacher.",4.3,"great teacher, clear, knowledgeable, helpful, good"
"Guy lets you know exactly what he expects at the beginning of the semester. His class is structured so well that there are no surprises. You take one quiz every week based on a study guide that he provides weekly. As long as you do well w/ the study guide and quizzes you will do great! Had him for SOSC and got an A, too!",3.9,"structured, organized, clear expectations, study guide, quizzes, great grade"
"One word, boring! Bring your pillow to class.",2.4,"boring, NA"
His favotite subject: Robert Ware....RUDE and cancels class without much warning. Very unprofessional. Doesn\'t reply to emails.,1.5,"rude, unprofessional, cancels class, doesn't reply to emails"
"Having our text books seemed pointless after awhile, but our projects and classwork was always easy and interesting. An easy A and an awesome teacher! I love Dr. Todd!",4.3,"easy, interesting, awesome"
I hate this class. Im an accounting major and I havent learned anything from this class when i walk out of class i dont even remember what was talked about in class. The only good thing about this professor was his stories but other than that i dont like him as a teacher.,1.6,"hate, not valuable, stories, don't like"
Avoid this teacher. Juan Carlos Garcia is 100 times better!!,2.4,"Avoid, better"
"This course is time consuming and difficult, but that\'s the nature of the course content. After you\'re done all the projects you feel a sense of real accomplishment. Arvo delivers the subj. in sizeable chunks that are easy to digest. He understands the inadequacy of some student\'s background and accomodates. Best professor period; rewarding course.",4.6,"challenging, rewarding, understanding, accommodating, best professor"
"Old guy who reminds me of my grandfather and tells really corny jokes. the whole class sleeps but a really easy class if youre into reading out of the text book. Quizzes on each chapter once a week...T or F. and he lets you make up tests if youre not there, easy A",2.4,"Old, corny jokes, easy class, quizzes, make up tests, easy A"
"FREE online text. Professor Damen is amazing, the content wasn\'t my favorite, but he is very enthusiastic and knowledgeable about history. not unreasonable amount of papers. He wants everyone to succeed and will help you succeed. the tests are a little challenging, but studying is the key. useful audio and powerpoints. great class overall.",4.6,"amazing, enthusiastic, knowledgeable, helpful, challenging, useful, great"
"He was great! He does expect a lot. You have to read and take a lot of notes, but he does keep it interesting.",4.2,"great, expect a lot, interesting"
Dr. James is filled with tons of excellent information. He provides resources to help guide you through the readings. Participation and doing assignment using the resources provided you are sure to do well.,4.2,"knowledgeable, helpful, resourceful, supportive"
Edgerton is great! Really easy class. He gives out the answers to the test the class before each test so you only have to take notes then. He doesn\'t assign homework and he can be pretty funny. He lectures all class but it isn\'t bad. Highly recommend!,4.1,"great, easy class, gives answers, no homework, funny, lectures, highly recommend"
I had him for 243 and didn\'t really like it but loved him for theory He explains everything so well very detailed and helpful. A lot of information to learn but he will help Be sure to have him look at your paper before you turn it in it will really help,4.0,"detailed, helpful, knowledgeable, thorough, approachable"
"Worst prof. Terrible, sexist prof. Makes jokes or comments and then spends 10 mins explaining he didn\'t mean it to be sexiest or racist. Lectures suck, all he talks about is his life and things from Toronto. Has biased opinions that he will share. Tests are complete bs. Puts stuff on there we\'ve never discussed, you have to read every word in text",2.7,"worst, terrible, sexist, biased, lectures, tests, bs, Toronto, racist, NA"
"Very effusive teaching, clearly loves teaching. Upbeat, very good at answering questions, homework makes you think, puts A LOT of work into the course, excellent at explaining concepts, best math teacher I\'ve ever had.",4.4,"teaching, loves teaching, upbeat, answering questions, homework makes you think, puts A LOT of work, excellent at explaining concepts, best math teacher"
"(Language & Culture)This class was great. Be patient through the linguistics and the culture part is awesome! Be warned: you will only get an ""A"" if you earn it completely. Read everything asked of you and do the workbook assignments. Brian\'s hilarious and extremely fair. Very fun class. Highly recommended.",4.2,"great, patient, awesome, fair, fun, highly recommended"
"Dr. Arrey, as he constantly refers to himself as in the third person is terrible; arrogant and unhelpful. The textbook is written by him and riddled with mistakes. It consists of ppt slides which he shows in lecture and there are no explanations. He doesn\'t explain it in lecture either. Also, there are no answers in the back of his workbook.",2.8,"arrogant, unhelpful, riddled with mistakes, no explanations, no answers"
"Her class is awesome. Attend class, do the work, try your best and you will do fine. Akk her classes are easy once you put in a lot of effort.",4.5,"awesome, easy, effort, fine"
"I\'m pretty sure I took every class this man taught. He\'s a great professor and a very nice man. He will answer any question you think to ask. And definitely go to Greece with him, it was one of the best experiences of my life! Love, from a member of ""the animal group.""",3.9,"great professor, nice, answers questions, best experiences, love"
Excellent Teacher,4.4,"Excellent, Teacher"
No Comments,3.8,NA
"He is sooooo cool, but this class is not easy on exams. Definitely a good professor with passion but be ready for the reading...",4.7,"cool, good professor, passionate, challenging, reading"
Hays is really sweet and nice. If you use your phone she will call you out. As long as you pay attention and do your work you wont have a problem with her. Her test reviews are really helpful when it comes to the test! So do them! Make sure you go to class in order to to edmodo (Big part of grade).,3.3,"sweet, nice, attentive, helpful, strict"
"He\'s not a great prof, but he\'s a damn genius and he\'s really funny.",4.0,NA
No Comments,3.8,NA
She was defintely the best teacher I\'ve had so far at Loyola. I wrote a poem and wanted her to just critique it (it wasnt even an assignment) and she read it at a poetry reading. She picks out great material to read and is extremely laid back. She really knows how to relate to her students.,4.7,"best teacher, critique, poetry reading, great material, laid back, relate to students"
"She is very hard. I ended up changing teachers because I was spending more time outside class doing the assisgments that was required. She also requires you to turn in everything online and take every test online, so if you do not have a computer and do not want to spend your entire semester on this class only, do not take her.",2.7,"hard, demanding, online-only, time-consuming"
"Wonderful professor. He expects you to work hard, and he works even harder trying to you to see the value in that. He\'s a Harvard experience in a Community College. Take his classes!",3.5,"Wonderful, expects you to work hard, works hard, value, Harvard experience"
"everyone should take class, makes it easy for none FIN students.",3.0,"easy, accommodating, recommended"
Harvey isn\'t arrogant- he is just extremely intelligent. World Politics is not a light subject and he expects that people are intelligent enough to see both sides of arguments. Loved his class- he was super helpful when I emailed him a question and I believe my exams were marked very fairly (the final was difficult),3.5,"intelligent, helpful, fair"
"Honestly, Half of what he teaches is based on experience. You know when a teacher tried too hard to make you laugh?.... He honestly made my freshmen year taking biology SUCK so bad. I hated every second. I\'m an A student and this class made me struggle. His PowerPoint are 10% based on the Test you\'re on your own in this class. STAY AWAY",3.2,"uninspiring, unhelpful, boring, ineffective, unorganized, discouraging, unengaging, unstructured, unprepared, overwhelming, frustrating, uninformative, unprofessional"
AMAZING I LOVED MY INTRO TO SOCIAL WELFARE. SHE IS AN AMAZING PROFESSOR!!! : ),4.8,"AMAZING, LOVED, AMAZING PROFESSOR"
"He\'s a really cool prof. He\'s young and has kids, so he knows what it\'s like to have a life outside of classes. The textbook is useful, but most of the testing materials come from the lectures. He also tells you what is going to be on each test, which are not cumulative.",3.7,"cool, young, understanding, informative, non-cumulative"
Nice guy. Good teaher. Funny. Cares about students learning the material and succeeding in life. Highly recommend.,4.1,"Nice, good teacher, funny, cares, highly recommend"
"very disappointing, He tries to fit too many books into the course, and fails to discuss them in enough detail. Dont count on him taking any sort of personal interest in his students.",4.3,"disappointing, fails to discuss in enough detail, lack of personal interest"
"This has been the most disorganized course I have ever taken. Expectations are not clearly expressed. When you ask for help or clarification, you do not receive it.",2.7,"disorganized, unclear expectations, unresponsive"
"I find it ironic that the people criticizing his English skills also happen to have had the most problems posting a coherent comment for this prof. The irony is delicious...that is, if it you get it.",4.1,"ironic, criticizing, English skills, problems, coherent, delicious"
She creates an atmosphere of awareness and motivation.,4.8,"atmosphere of awareness, motivation"
JESUS CHRIST OF NAZARETH. I HAVE NEVER SEEN A BAD TEACHER IN MY LIFE UNTIL I TOOK HIS CLASS. HE IS JUST THERE FOR THE PAYCHECK. PLEASE RUN IF YOU CAN.,2.3,"bad teacher, just for the paycheck, run"
No Comments,4.4,NA
"If you want an easy A, take his class! You do very little work.. He curves his tests like 100% so it\'s impossible for u to fail.. You just have to show up to class. He\'s kind of strange but i got used to him.",3.9,"easy A, little work, curves tests 100%, impossible to fail, show up, strange"
"Boo AU, but Hooray Dr. Huntley!! Best overall teacher @ NACC in my opinion. I had Dr. H in both English & Lit classes. Register ASAP to get in her classes!!",4.4,"Best overall teacher, Dr. Huntley, Register ASAP, English, Lit"
She is a great teacher. the first day she will make is seem like her class will be very hard but its not at all. you will do alot of writing. but she explains what she wants from you clearly and it is easy to understand.if you can write a decent essay you will pass. She tells stories and keeps everyone intrested!! highly recommended!!,3.9,"great teacher, hardworking, clear expectations, easy to understand, storytelling, engaging"
"Very good sense of humour. Teaching methods did not work well for me, minimal interaction with students. Several of my friends did very well though and enjoyed his lectures. Would prefer a tutorial rather than an extra 30 mins of classtime. Fair tests, but the exam was written by another professor, and was not very related to what what we learned.",3.1,"humorous, minimal interaction, fair tests, not related to material"
Gendron is awesome. He\'s so helpful and nice!,4.5,"helpful, nice"
Very interesting person and class is always interesting too.,3.7,"interesting, NA"
Not a fan of math myself but she explains things in a helpful way.,4.7,"helpful, NA"
get serious!!!,2.3,NA
"Assigns a ton of homework, said i\'d be able to do my work on my mac if i purchased Office365, which didnt come with 12 the required software for class. her lack of knowledge of current computer software and stubbornness caused me a lot of stress, i ended with a 79.1% getting a C, she did not round up even knowing the extra time i put into class",1.9,"strict, unhelpful, outdated, stubborn, unsympathetic"
"Dr. Gadbois is a fantastic prof, definitely one of the best profs I\'ve ever had. Her tests are extremely fair, she gives outlines so you know exactly what to study, her lectures are engaging, she WANTS you to succeed. Take a class with her, your GPA will thank you.",4.5,"fantastic, best, fair, outlines, engaging, wants you to succeed"
"Jerry, as he insists on being called, is an excellent teacher and a great man. He really cares for his students and has a fun time getting to know them and teaching them. Holds plenty of review sessions for tests and will do whatever it takes to get you to pass as long as you try. Sometimes he\'s not crystal clear, but he will explain if asked.",4.4,"excellent, great, cares for students, fun, review sessions, supportive, explains well"
I thought I would be taking PreCalclus but apparently I am taking middle school math. I am not in any way prepared to move onto Calculus I next semester. We spent more than half of this semester completing basic review and he even commented in class that we have spent three times the amount of time on review than the book recommended.,3.3,"unprepared, basic review, excessive review, middle school level, not prepared, slow pace"
"It doesn\'t get any better than this professor. You better thank your lucky stars if you can get into his class. Very refreshing, fun, interesting, and informative. His class is not boring AT ALL and you talk about real world concepts. I would reccommend anyone to take his class. Test come directly from his review and he is an EXTREMELY NICE MAN.",4.8,"excellent, engaging, refreshing, fun, informative, recommended, real-world concepts, test-focused, extremely nice"
I definitely agree about her voice! It was like nails on chalkboard to me. She\'s a nice lady but you can tell she lives&breathes astronomy so much that her social skills took a back seat! She would ramble on and on about the easiest topic leaving us to figure out the harder stuff ourselves. She nit-picks to the smallest detail on the homework.,4.2,"nails on chalkboard, nice, lives&breathes astronomy, social skills, ramble on, nit-picks"
"Fall 2013 night class.He speak Cantonese, Mandarin, English and post solutions online.His notes are organize.He don\'t check homework, but give you quiz(total value 30% final grade) from homework problems. you could use a formula paper in exam.Final exam is open book, notes, so print all solutions from his final review and at least read them once.",3.9,"organized, multilingual, helpful, quiz-based grading, open-book exam"
Kwag was a nightmare! You could not understand him and he is not interested in helping the students. The worst that SHA has to offer. It is a shame the dean uses him as a showcase professor.,3.2,"nightmare, not helpful, worst, shame, showcase professor"
"Great teacher. I had him once a week for like 3 hour periods, but he managed to make the class really interesting. Tests were pretty simple, plus he drops your lowest score, along with a few quizzes.",4.8,"Great teacher, interesting class, simple tests, drops lowest score, few quizzes."
LOVED HIM! hes a great guy and is very supportive and is more than willing to help if you need it. he really knows his stuff and hes very intelligent. overall an AWESOME teacher!,4.8,"supportive, intelligent, awesome"
